pid,process,rankig,hook,path_appdata_temp,assembly_section,dll_path,dll_rede,Malware,qt_dll_rede,qt_hook,qt_assembly,qt_dll_path,,
7484,OneDrive.exe,55907,1,1,1,1,1,0,4,11054,1,122,,ff69d0aff85855980d01fe2fdf64e62e9ed7c944
4812,acroedit.exe,17086,1,1,0,1,1,1,4,3407,0,6,,
6640,putty.exe,11199,1,1,1,1,1,1,4,2232,1,4,,
4340,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
4056,taskhostw.exe,204,1,0,0,0,1,0,2,40,0,0,,
5748,OneDrive.exe,60282,1,1,1,1,1,0,4,11925,1,126,,f9fd6c9735bba5ef110606388cb2902fa7d52d6a
7984,Fondue.exe,3966,1,0,1,0,1,1,2,792,1,0,,
5412,svchost.exe,469,1,0,1,0,0,0,0,93,1,0,,
4240,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
2012,svchost.exe,125,1,0,0,0,0,0,0,24,0,0,,
4512,explorer.exe,267,1,1,1,1,0,0,0,47,1,4,,f9e839eb6e6b2b499319e98662ced1ceebfc8ea3
5612,SkypeApp.exe,145,1,0,1,0,1,1,2,28,1,0,,
2056,svchost.exe,139,1,0,1,0,0,0,0,27,1,0,,
2088,SearchUI.exe,123,1,0,1,0,1,0,4,22,1,0,,
5076,ShellExperienc,94,1,0,0,0,1,0,2,18,0,0,,
7392,OneDrive.exe,79027,1,1,1,1,1,0,4,15674,1,126,,f98c9e57dd9a2fcf3795e15024fc2ae079c67a56
1248,putty.exe,13708,1,0,1,0,1,1,4,2739,1,0,,
7016,putty.exe,10715,1,0,1,0,0,1,0,2142,1,0,,
4208,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
5080,SearchUI.exe,118,1,0,0,0,1,0,4,22,0,0,,
6396,OneDrive.exe,57312,1,1,1,1,1,0,4,11331,1,126,,f957d93e9ac2eabb3f77c38266e549db2dc34df8
2748,MediaCenter.ex,9566,1,1,0,1,1,1,4,1898,0,6,,
4392,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
1760,svchost.exe,129,1,0,1,0,0,0,0,24,1,0,,
4724,SearchUI.exe,118,1,0,0,0,1,0,4,22,0,0,,
6672,OneDrive.exe,54232,1,1,1,1,1,0,4,10715,1,126,,fbfcb8f72da72aa99e062e94c31a550389986841
4896,putty.exe,11342,1,1,1,1,1,1,4,2260,1,4,,
6520,SWDNLD.EXE,6429,1,0,0,0,1,1,2,1284,0,0,,
3696,msiexec.exe,389,1,0,1,0,0,0,0,77,1,0,,
4688,explorer.exe,255,1,1,0,1,0,0,0,47,0,4,,
2624,OneDrive.exe,54637,1,1,1,1,1,0,4,10796,1,126,,fbead56bcbc0a8a63b744ca37a98a6523945295e
7540,AdobeUpdate.ex,4656,1,1,0,1,1,1,4,916,0,6,,
4444,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
2068,svchost.exe,129,1,0,1,0,0,0,0,24,1,0,,
4172,SearchUI.exe,123,1,0,0,0,1,0,4,23,0,0,,
7612,putty.exe,13734,1,0,0,0,1,1,2,2746,0,0,,fb9ab46760e1feaeb6c561dce3ce258a19143044
4464,explorer.exe,257,1,1,1,1,0,0,0,46,1,4,,
1384,svchost.exe,129,1,0,1,0,0,0,0,24,1,0,,
3844,SearchUI.exe,121,1,0,1,0,1,0,4,22,1,0,,
7412,OneDrive.exe,71797,1,1,1,1,1,0,4,12668,1,126,,fb50806d26a4addd20a9ac046cd8b8b39b9a2631
7276,putty.exe,9819,1,0,1,0,1,1,4,1962,1,0,,
4240,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
4960,SearchUI.exe,121,1,0,1,0,1,0,4,22,1,0,,
1176,OneDrive.exe,57077,1,1,1,1,1,0,4,11284,1,126,,fb140a6f2f0b4cfb48b4b3b22b7b422ff4ab1e82
7636,svchost.exe,2023,1,0,1,0,0,1,0,403,1,0,,
4236,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
140,svchost.exe,254,1,0,1,0,0,0,0,50,1,0,,
2012,svchost.exe,125,1,0,0,0,0,0,0,24,0,0,,
7408,OneDrive.exe,57057,1,1,1,1,1,0,4,11284,1,122,,fcc8ac89581e1625a05ef54cee9ce8d3a48a8144
5340,Fondue.exe,3841,1,0,1,0,1,1,2,767,1,0,,
4632,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
4396,WmiPrvSE.exe,147,1,0,1,0,0,0,0,29,1,0,,
2052,svchost.exe,125,1,0,0,0,0,0,0,24,0,0,,
7292,OneDrive.exe,41582,1,1,1,1,1,0,4,8189,1,122,,fcc620a4af57353816369f839de335baf53da02b
8072,MediaCenter.ex,1726,1,1,0,1,1,1,4,330,0,6,,
4464,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
4016,SearchUI.exe,121,1,0,1,0,1,0,4,22,1,0,,
4992,ShellExperienc,94,1,0,0,0,1,0,2,18,0,0,,
2176,OneDrive.exe,79092,1,1,1,1,1,0,4,15691,1,122,,fca78662d2f1e0df85f3dcba561195bac1227b02
7640,putty.exe,10498,1,0,0,0,1,1,4,2098,0,0,,
2904,WMIADAP.exe,921,1,0,0,0,0,1,0,184,0,0,,
4308,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
1880,svchost.exe,130,1,0,0,0,0,0,0,24,0,0,,
1568,OneDrive.exe,44212,1,1,1,1,1,0,4,8715,1,122,,fc998549b244c8794b1514502ba87eb9091dc827
7916,putty.exe,10813,1,0,1,0,0,1,0,2162,1,0,,
4452,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
2160,svchost.exe,129,1,0,1,0,0,0,0,24,1,0,,
5152,SearchUI.exe,123,1,0,0,0,1,0,4,23,0,0,,
1284,OneDrive.exe,47097,1,1,1,1,1,0,4,9292,1,122,,fc9798b1712d72151482a3b8d93eac7fc32ce283
4444,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
5080,SearchUI.exe,121,1,0,1,0,1,0,4,22,1,0,,
4972,ShellExperienc,95,1,0,1,0,1,0,2,18,1,0,,
2088,svchost.exe,85,1,0,0,0,0,0,0,16,0,0,,
2848,OneDrive.exe,70237,1,1,1,1,1,0,4,13920,1,122,,fc79c1a9cf470131a7c4f6f4a34fdee75a537ce5
3244,adobeupd.exe,5633,1,1,0,1,1,1,1,1114,0,6,,
4380,explorer.exe,227,1,1,1,1,0,0,0,40,1,4,,
5096,SearchUI.exe,101,1,0,1,0,1,0,4,18,1,0,,
4396,explorer.exe,262,1,1,1,1,0,0,4,13920,1,122,,fd7550f2f8d2cef81ed4ba2e29d1ccb672a05770
2100,svchost.exe,129,1,0,1,0,0,1,1,1114,0,6,,
2736,SearchUI.exe,121,1,0,1,0,1,0,0,40,1,4,,
4836,ShellExperienc,95,1,0,1,0,1,0,4,18,1,0,,
6132,MicrosoftEdgeC,58,1,0,0,0,1,0,2,18,0,0,,
2080,OneDrive.exe,55557,1,1,1,1,1,0,4,10984,1,122,,fd9622452d02c6d84532b51b3599f2015301371d
7448,Fondue.exe,6401,1,0,1,0,1,1,2,1279,1,0,,
4452,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
2044,svchost.exe,129,1,0,1,0,0,0,0,24,1,0,,
5112,SearchUI.exe,118,1,0,0,0,1,0,4,22,0,0,,
4352,OneDrive.exe,42482,1,1,1,1,1,0,4,8369,1,122,,fdafb036e2974bb8d1a4b2bb97ef88560e275fc4
7868,putty.exe,2906,1,0,1,0,1,1,2,580,1,0,,
6768,WMIADAP.exe,920,1,0,0,0,0,1,0,184,0,0,,
4280,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
5116,SearchUI.exe,116,1,0,0,0,1,0,3,22,0,0,,
